time us,current kA
-0.023,6.33127
-0.022,3.41002
-0.021,3.61808
-0.02,3.27038
-0.019,0.20876
-0.018,1.6701
-0.017,1.18275
-0.016,0.69569
-0.015,0.13911
-0.014,-1.46062
-0.013,-1.60028
-0.012,-2.15745
-0.011,-2.08763
-0.01,-1.53045
-0.009,-0.20876
-0.008,5.358
-0.007,8.4189
-0.006,12.59415
-0.005,16.34475
-0.004,19.0665
-0.003,6.81863
-0.002,29.982
-0.001,0.62615
-1.29E-08,9.67148
0.001,8.83643
0.002,-1.18289
0.003,-12.66398
0.004,-8.48873
0.005,-10.92405
0.006,-6.33127
0.007,-9.25395
0.008,-10.7844
0.009,-7.0281
0.01,-12.59415
0.011,-9.11573
0.012,-19.6935
0.013,-14.26425
0.014,-14.478
0.015,-7.58385
0.016,-7.86315
0.017,12.66398
0.018,5.7057
0.019,24.01125
0.02,19.551
0.021,31.30725
0.022,28.5285
0.023,33.81525
0.024,28.5285
0.025,27.132
0.026,21.64575
0.027,20.59125
0.028,14.40675
0.029,10.64618
0.03,5.77553
0.031,-2.7132
0.032,-3.3402
0.033,-8.6982
0.034,-8.14103
0.035,-2.92268
0.036,1.32197
0.037,1.87815
0.038,3.89595
0.039,4.24365
0.04,3.61808
0.041,6.47093
0.042,4.59277
0.043,5.49623
0.044,8.83643
0.045,10.29848
0.046,9.53182
0.047,12.66398
0.048,11.27175
0.049,14.60625
0.05,16.48725
0.051,20.0355
0.052,23.313
0.053,20.59125
0.054,18.22575
0.055,18.7815
0.056,12.59415
0.057,6.95828
0.058,-3.41002
0.059,-4.731
0.06,-11.61945
0.061,-5.49623
0.062,-5.91375
0.063,-3.82755
0.064,-1.73993
0.065,0.55661
0.066,5.56605
0.067,8.90625
0.068,13.4292
0.069,20.52
0.07,23.313
0.071,24.567
0.072,24.98025
0.073,28.671
0.074,27.00375
0.075,24.49575
0.076,26.163
0.077,25.536
0.078,25.12275
0.079,22.401
0.08,23.24175
0.081,16.14525
0.082,12.17663
0.083,7.51403
0.084,0.90445
0.085,4.10542
0.086,-3.75773
0.087,-0.2783
0.088,1.46062
0.089,-2.0178
0.09,-1.25243
0.091,-1.60028
0.092,-3.89595
0.093,1.94798
0.094,0.83491
0.095,8.55855
0.096,11.7591
0.097,15.789
0.098,19.0665
0.099,20.39175
0.1,22.95675
0.101,25.194
0.102,27.20325
0.103,26.71875
0.104,28.1865
0.105,31.0365
0.106,28.11525
0.107,22.5435
0.108,21.9165
0.109,16.00275
0.11,9.88095
0.111,11.0637
0.112,5.49623
0.113,8.4189
0.114,7.23615
0.115,6.95828
0.116,5.0103
0.117,10.64618
0.118,12.17663
0.119,16.701
0.12,16.8435
0.121,18.4395
0.122,17.043
0.123,15.5895
0.124,17.39925
0.125,19.893
0.126,18.51075
0.127,19.33725
0.128,22.13025
0.129,20.73375
0.13,23.58375
0.131,20.59125
0.132,21.147
0.133,18.0975
0.134,19.13775
0.135,15.789
0.136,16.8435
0.137,13.4292
0.138,14.82
0.139,14.19443
0.14,11.96715
0.141,17.59875
0.142,18.65325
0.143,20.39175
0.144,21.07575
0.145,20.73375
0.146,23.58375
0.147,20.59125
0.148,18.22575
0.149,19.33725
0.15,17.043
0.151,16.5585
0.152,15.9315
0.153,15.9315
0.154,19.28025
0.155,20.9475
0.156,22.95675
0.157,24.909
0.158,24.49575
0.159,27.97275
0.16,26.09175
0.161,25.46475
0.162,21.01875
0.163,16.34475
0.164,16.8435
0.165,16.8435
0.166,16.48725
0.167,20.0355
0.168,22.2585
0.169,27.9015
0.17,29.64
0.171,35.55375
0.172,37.43475
0.173,34.15725
0.174,30.7515
0.175,28.8705
0.176,23.24175
0.177,19.47975
0.178,17.67
0.179,11.7591
0.18,8.28068
0.181,10.99388
0.182,9.1143
0.183,11.68928
0.184,13.35938
0.185,15.66075
0.186,18.0975
0.187,20.39175
0.188,21.07575
0.189,20.73375
0.19,23.94
0.191,22.401
0.192,23.58375
0.193,27.2745
0.194,29.4975
0.195,32.07675
0.196,34.656
0.197,36.95025
0.198,39.31575
0.199,43.6335
0.2,40.2135
0.201,41.4675
0.202,38.88825
0.203,37.43475
0.204,35.06925
0.205,29.36925
0.206,25.251
0.207,21.21825
0.208,19.6935
0.209,16.8435
0.21,17.043
0.211,13.4292
0.212,14.478
0.213,11.1321
0.214,10.57635
0.215,15.51825
0.216,16.701
0.217,17.8125
0.218,24.35325
0.219,24.909
0.22,27.83025
0.221,32.9745
0.222,32.9745
